FID;field_1;field_2;x;y
93;303724.918368516;4621967.87959495;303725;4621970
94;312385.917353814;4605530.48951412;312386;4605530
95;279829.81049758;4590422.7824152;279830;4590420
96;305422.219108582;4614827.84042316;305422;4614830
97;310000.685974283;4616432.85586507;310001;4616430
98;304084.798638338;4614978.18240572;304085;4614980
99;305771.48032061;4615450.17570536;305771;4615450
100;305501.516854111;4615039.90010144;305502;4615040
101;307156.73431505;4613263.81917716;307157;4613260
102;308252.103202011;4602941.48368924;308252;4602940
103;288809.045464663;4624614.09291287;288809;4624610
104;291470.820426217;4617166.03977621;291471;4617170
105;289898.023160926;4602441.94584304;289898;4602440
106;292291.202147152;4605753.31489572;292291;4605750
107;305777.812798236;4613890.32099719;305778;4613890
108;308759.826311458;4611189.44914894;308760;4611190
109;309954.969185383;4611441.39549572;309955;4611440
110;310696.677216694;4611505.17805005;310697;4611500
111;313245.480538806;4611476.79793591;313245;4611480
112;314583.825993432;4612104.34846126;314584;4612100
113;292058.109262004;4616501.76078029;292058;4616500
114;310671.078557339;4599307.62092303;310671;4599310
115;311299.454217173;4598673.8842836;311299;4598670
116;298159.167404522;4590176.28300978;298159;4590180
117;297826.500433467;4593053.81204445;297826;4593050
118;298665.588446983;4594177.7877029;298666;4594180
119;300412.3843904;4595775.90837981;300412;4595780
120;300862.778524802;4596454.06749837;300863;4596450
121;301165.366899425;4597331.29453417;301165;4597330
122;301340.847635345;4597791.384862;301341;4597790
123;301990.81870115;4599138.80485841;301991;4599140
124;302308.196938911;4600080.88219989;302308;4600080
125;304912.496718145;4614047.08386594;304912;4614050
126;305002.778058386;4614312.37981454;305003;4614310
127;304887.177304285;4613956.68094685;304887;4613960
128;304923.581789079;4614088.16678664;304924;4614090
129;306697.411587395;4616698.06796383;306697;4616700
130;307979.809452146;4617124.36697895;307980;4617120
131;308352.501197562;4617284.498319;308352;4617280
132;309020.97224492;4617892.58897698;309021;4617890
133;308984.854904609;4617853.32371161;308985;4617850
134;309048.828399972;4617924.96171557;309049;4617920
135;309154.528035303;4618089.10335175;309155;4618090
136;309299.043498143;4618893.99949926;309299;4618890
137;310251.306967158;4620300.20765471;310251;4620300
138;314074.073020708;4624243.73705306;314074;4624240
139;314162.730407426;4624423.3188035;314163;4624420
140;302625.59455104;4606678.49751982;302626;4606680
141;305464.130962934;4608191.78143702;305464;4608190
142;306866.175922591;4612976.31186714;306866;4612980
143;309838.511746497;4616373.59781119;309838;4616370
144;316778.834845279;4623613.12956299;316779;4623610
145;318779.610679387;4626939.56922691;318780;4626940
146;297778.950942044;4600774.7814457;297779;4600780
147;281896.763709123;4595021.47292553;281897;4595020
148;302232.700281503;4591864.48581256;302233;4591860
149;301614.152361462;4593017.80771547;301614;4593020
150;307877.149797263;4603168.9431552;307877;4603170
151;310877.022865459;4601742.194622;310877;4601740
152;292046.090681938;4607386.35605925;292046;4607390
153;291988.355826172;4607461.61110423;291988;4607460
154;287962.265020347;4623903.14348144;287962;4623900
155;312059.045279164;4610928.29579768;312059;4610930
156;307654.982801088;4610472.04825114;307655;4610470
157;301960.982371877;4606578.73058985;301961;4606580
158;302059.817909764;4607066.24416701;302060;4607070
159;291270.736251689;4603134.01533933;291271;4603130
160;290024.908224806;4600408.48440279;290025;4600410
161;289283.394596673;4598293.1701256;289283;4598290
162;287286.881083167;4596052.00489697;287287;4596050
163;287154.194514749;4595946.22754184;287154;4595950
164;292336.376337175;4602609.02548145;292336;4602610
165;303065.46592357;4613668.39366535;303065;4613670
166;302965.815054632;4614125.77169611;302966;4614130
167;303620.619779533;4620935.25676169;303621;4620940
168;299897.60910482;4621262.10143458;299898;4621260
169;315686.03260236;4603669.518758;315686;4603670
170;314529.432401626;4604411.29150694;314529;4604410
171;313537.598497321;4604982.7205222;313538;4604980
172;310162.546927658;4606668.40197242;310163;4606670
173;309989.326617132;4606766.08928567;309989;4606770
174;284880.729300525;4625632.14497848;284881;4625630
175;294883.266967041;4605039.33177626;294883;4605040
176;315453.57637654;4611106.63246125;315454;4611110
177;285228.722791616;4598463.85378871;285229;4598460
178;317171.47258481;4598099.80353169;317171;4598100
179;312887.82586465;4597507.30969242;312888;4597510
180;292463.926991164;4606040.72031701;292464;4606040
181;281579.26752067;4595705.32768568;281579;4595710
182;309911.669604517;4616402.34811304;309912;4616400
183;305941.518896784;4615819.93042541;305942;4615820
184;289047.373227112;4597876.19890237;289047;4597880
185;318657.545816438;4626704.22761298;318658;4626700
186;307924.288267045;4614150.10808757;307924;4614150
187;316063.140492788;4626397.48835195;316063;4626400
188;295312.810403585;4601696.16712091;295313;4601700
189;309844.794359161;4619846.65423743;309845;4619850
190;306023.328520855;4608524.01006074;306023;4608520
191;310749.526213373;4616778.17221927;310750;4616780
192;316685.283558593;4623562.16111881;316685;4623560
193;313964.84014094;4604735.68009801;313965;4604740
194;311333.442583452;4606032.70799735;311333;4606030
195;317156.691734932;4610730.16697231;317157;4610730
196;297991.983165658;4590693.86735556;297992;4590690
197;288171.06328789;4622753.59224765;288171;4622750
198;307214.965742898;4603923.72686889;307215;4603920
199;301622.83948881;4606058.05872205;301623;4606060
200;287048.675582044;4599220.78658116;287049;4599220
201;289575.444635521;4599183.29996895;289575;4599180
202;310725.451708076;4601790.07291247;310725;4601790
203;313160.014297827;4623231.76915657;313160;4623230
204;291888.462492362;4627194.12874836;291888;4627190
205;302055.887728997;4607052.52521317;302056;4607050
206;317057.13247347;4600612.58780204;317057;4600610
207;302083.391431021;4607157.10400575;302083;4607160
208;308021.013263971;4611448.01308093;308021;4611450
209;296029.180917392;4611152.42386595;296029;4611150
210;316194.713397253;4598174.68762623;316195;4598170
211;306241.088877313;4604720.09386086;306241;4604720
212;310117.764571739;4620152.20259651;310118;4620150
213;296640.749715646;4612824.56862376;296641;4612820
214;292592.660684534;4616209.24713174;292593;4616210
215;302201.125359823;4602090.75844046;302201;4602090
216;307713.959576852;4617077.64815689;307714;4617080
217;285241.422696879;4594581.59578655;285241;4594580
218;289005.830585699;4620453.59112632;289006;4620450
219;304273.523375012;4612571.4913208;304274;4612570
220;297811.204938903;4606867.0052221;297811;4606870
221;286228.777476359;4598796.02907412;286229;4598800
222;294825.210179634;4614676.29333732;294825;4614680
223;302572.202552172;4606664.53739054;302572;4606660
224;312106.263655849;4622888.54542363;312106;4622890
225;302145.570564324;4607749.17554865;302146;4607750
226;313152.056124489;4605165.31790996;313152;4605170
227;289560.250461905;4598990.60942892;289560;4598990
