"from";"to";"distance";"intensity";"imd2015"
189;205;1006,36077030059;0,0325339276703905;36909
205;206;1364,59517806564;0,021994647215783;36909
207;208;3267,32382845656;0,0329292121660678;5162
208;209;644,854247097745;0,0074184052786048;5162
50;99;2448,30431115088;0,0304236560625348;8374
18;210;2698,74507873567;0,0119803950056173;12411
211;212;741,439815494151;9,1407127304693e-18;12411
19;212;3428,72643994822;0,00981285238932607;12411
49;215;2568,59358404556;0,0211317689631675;1103
46;216;1999,34239188789;0,0230789481516723;29146
47;216;2004,98004977606;0,0174485330326847;29146
217;218;619,717677656528;0,00239803968746236;821
218;219;1710,65630680157;0,0168702143694879;821
219;220;1829,2460195392;0,0338372332107719;821
44;220;4893,92787033074;0,0882330848635609;821
58;226;888,21731575105;0,00832311696656835;10372
85;227;6,70820393249937;0;10351
85;228;48,1040538832228;0,000514219491613269;10351
1;228;415,640469636921;0,00210803692342769;10351
42;66;1768,39955892327;0,0642238426011659;9722
20;42;4489,62860379341;0,158724010710952;9722
229;230;2673,36061914587;0,0178344462850268;9331
230;231;1944,37496383799;0,0265866452520743;9331
13;231;1847,02192731976;0,0222740038827714;9331
166;172;1041,61413200859;0,00778995254238734;5058
172;232;5068,58412182337;0,0842496697200081;5058
232;233;925,410179325903;0,0161904097808833;5058
234;235;1731,25214801311;0,0607376093765628;8277
235;236;1384,30776924786;0,0244388296008573;8277
90;236;881,095908513937;0,00518258487259552;8277
90;237;2308,77218451713;0,0201038381933459;8277
105;238;6123,84405418688;0,0697720723447886;888
108;242;400,510923696221;0,00183958887549737;368
23;243;160,860187740783;0,00270637121542745;20061
244;245;85,7029754442633;0,000985143578244976;2351
246;247;395,637460309309;0,00155194588517026;2351
100;245;55,1543289325507;0,00108443417769071;2351
207;248;2254,05811815046;0,0314420712184011;16108
8;248;43,1856457633784;0;16108
22;249;2154,67886238298;0,031947575679719;20061
134;250;20,6155281280883;0;771
134;251;527,466586619475;0,00196176021235095;1136
251;252;318,226334548227;0,00176248500151519;1136
253;254;3063,96295669514;0,0535850841785429;20061
144;256;7,61577310586391;0;3051
261;262;1103,03671743057;1,42657628660773e-39;77
262;263;574,7181918123;8,76877248037907e-35;77
263;264;720,044443072787;1,68625810398618e-30;77
73;264;1020,44941079899;1,46945527547399e-24;77
17;243;850,158808693999;0,0184952377259631;14070
